timestamped_line
"[16:17:43] Ready. Type 's' to start logging, 'e' to stop."
[16:17:43] Sensor Info:
[16:17:43] Sensor ID: 50
[16:17:43] Sensor Name: FORCE PLATE 850
[16:17:43] Units: N
[16:17:43] ▶️ START LOGGING
"[16:17:43] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:18:04] 25.22, Force(N): 24.697, ΔF(N): 3.032, FSR1: 709, FSR2: 1023, FSR3: 1023"
"[16:18:04] 25.33, Force(N): 26.719, ΔF(N): 2.021, FSR1: 670, FSR2: 1023, FSR3: 1023"
"[16:18:04] 25.55, Force(N): 28.740, ΔF(N): 2.021, FSR1: 640, FSR2: 1023, FSR3: 1023"
"[16:18:04] 25.66, Force(N): 29.751, ΔF(N): 1.011, FSR1: 631, FSR2: 1023, FSR3: 1023"
"[16:18:04] 25.77, Force(N): 31.772, ΔF(N): 2.021, FSR1: 624, FSR2: 1023, FSR3: 1023"
"[16:18:05] 25.88, Force(N): 30.762, ΔF(N): -1.011, FSR1: 620, FSR2: 1023, FSR3: 1023"
"[16:18:05] 26.00, Force(N): 31.772, ΔF(N): 1.011, FSR1: 619, FSR2: 1023, FSR3: 1023"
"[16:18:05] 26.21, Force(N): 34.805, ΔF(N): 3.032, FSR1: 598, FSR2: 1023, FSR3: 1023"
"[16:18:05] 26.32, Force(N): 36.826, ΔF(N): 2.021, FSR1: 593, FSR2: 1023, FSR3: 1023"
"[16:18:05] 26.74, Force(N): 38.848, ΔF(N): 2.021, FSR1: 546, FSR2: 1022, FSR3: 1023"
"[16:18:06] 26.85, Force(N): 39.858, ΔF(N): 1.011, FSR1: 529, FSR2: 1022, FSR3: 1023"
"[16:18:06] 27.06, Force(N): 38.848, ΔF(N): -1.011, FSR1: 505, FSR2: 1023, FSR3: 1023"
"[16:18:06] 27.17, Force(N): 40.869, ΔF(N): 2.021, FSR1: 496, FSR2: 1023, FSR3: 1023"
"[16:18:06] 27.39, Force(N): 41.880, ΔF(N): 1.011, FSR1: 478, FSR2: 1023, FSR3: 1023"
"[16:18:06] 27.60, Force(N): 42.891, ΔF(N): 1.011, FSR1: 457, FSR2: 1023, FSR3: 1023"
"[16:18:06] 27.71, Force(N): 41.880, ΔF(N): -1.011, FSR1: 453, FSR2: 1023, FSR3: 1023"
"[16:18:07] 27.83, Force(N): 42.891, ΔF(N): 1.011, FSR1: 450, FSR2: 1023, FSR3: 1023"
"[16:18:07] 28.34, Force(N): 40.869, ΔF(N): -2.021, FSR1: 485, FSR2: 1023, FSR3: 1023"
"[16:18:07] 28.45, Force(N): 33.794, ΔF(N): -7.075, FSR1: 600, FSR2: 1023, FSR3: 1023"
"[16:18:07] 28.57, Force(N): 30.762, ΔF(N): -3.032, FSR1: 610, FSR2: 1023, FSR3: 1023"
"[16:18:07] 28.68, Force(N): 28.740, ΔF(N): -2.021, FSR1: 631, FSR2: 1023, FSR3: 1023"
"[16:18:08] 28.79, Force(N): 25.708, ΔF(N): -3.032, FSR1: 719, FSR2: 1023, FSR3: 1023"
"[16:18:08] 28.91, Force(N): 22.676, ΔF(N): -3.032, FSR1: 778, FSR2: 1023, FSR3: 1023"
"[16:18:08] 29.22, Force(N): 21.665, ΔF(N): -1.011, FSR1: 826, FSR2: 1023, FSR3: 1023"
"[16:18:08] 29.43, Force(N): 20.654, ΔF(N): -1.011, FSR1: 830, FSR2: 1023, FSR3: 1023"
"[16:18:08] 29.65, Force(N): 19.644, ΔF(N): -1.011, FSR1: 888, FSR2: 1023, FSR3: 1023"
"[16:18:08] 29.76, Force(N): 20.654, ΔF(N): 1.011, FSR1: 905, FSR2: 1023, FSR3: 1023"
"[16:18:09] 30.18, Force(N): 21.665, ΔF(N): 1.011, FSR1: 817, FSR2: 1023, FSR3: 1023"
"[16:18:09] 30.49, Force(N): 20.654, ΔF(N): -1.011, FSR1: 842, FSR2: 1022, FSR3: 1023"
"[16:18:09] 30.61, Force(N): 21.665, ΔF(N): 1.011, FSR1: 823, FSR2: 1023, FSR3: 1023"
"[16:18:09] 30.72, Force(N): 20.654, ΔF(N): -1.011, FSR1: 840, FSR2: 1023, FSR3: 1023"
"[16:18:10] 30.83, Force(N): 21.665, ΔF(N): 1.011, FSR1: 815, FSR2: 1023, FSR3: 1023"
