timestamped_line
"[15:59:31] Ready. Type 's' to start logging, 'e' to stop."
[15:59:31] Sensor Info:
[15:59:31] Sensor ID: 50
[15:59:31] Sensor Name: FORCE PLATE 850
[15:59:31] Units: N
[15:59:31] ▶️ START LOGGING
"[15:59:31] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:59:50] 23.49, Force(N): 18.633, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:50] 23.60, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:51] 23.82, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:51] 23.93, Force(N): 16.611, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:51] 24.15, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:51] 24.67, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:52] 24.88, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:52] 25.19, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:52] 25.51, Force(N): 19.644, ΔF(N): 1.011, FSR1: 923, FSR2: 1022, FSR3: 1023"
"[15:59:52] 25.62, Force(N): 21.665, ΔF(N): 2.021, FSR1: 904, FSR2: 1023, FSR3: 1023"
"[15:59:53] 25.94, Force(N): 22.676, ΔF(N): 1.011, FSR1: 850, FSR2: 1023, FSR3: 1023"
"[15:59:53] 26.05, Force(N): 24.697, ΔF(N): 2.021, FSR1: 835, FSR2: 1023, FSR3: 1023"
"[15:59:53] 26.16, Force(N): 25.708, ΔF(N): 1.011, FSR1: 810, FSR2: 1023, FSR3: 1023"
"[15:59:53] 26.27, Force(N): 27.729, ΔF(N): 2.021, FSR1: 778, FSR2: 1023, FSR3: 1023"
"[15:59:53] 26.38, Force(N): 28.740, ΔF(N): 1.011, FSR1: 751, FSR2: 1022, FSR3: 1023"
"[15:59:53] 26.50, Force(N): 30.762, ΔF(N): 2.021, FSR1: 727, FSR2: 1022, FSR3: 1023"
"[15:59:53] 26.61, Force(N): 32.783, ΔF(N): 2.021, FSR1: 712, FSR2: 1023, FSR3: 1023"
"[15:59:54] 26.82, Force(N): 33.794, ΔF(N): 1.011, FSR1: 669, FSR2: 1022, FSR3: 1023"
"[15:59:54] 27.03, Force(N): 34.805, ΔF(N): 1.011, FSR1: 642, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.25, Force(N): 33.794, ΔF(N): -1.011, FSR1: 630, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.36, Force(N): 34.805, ΔF(N): 1.011, FSR1: 616, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.47, Force(N): 35.815, ΔF(N): 1.011, FSR1: 603, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.58, Force(N): 34.805, ΔF(N): -1.011, FSR1: 598, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.70, Force(N): 35.815, ΔF(N): 1.011, FSR1: 590, FSR2: 1023, FSR3: 1023"
"[15:59:55] 27.81, Force(N): 36.826, ΔF(N): 1.011, FSR1: 579, FSR2: 1023, FSR3: 1023"
"[15:59:55] 27.92, Force(N): 37.837, ΔF(N): 1.011, FSR1: 576, FSR2: 1023, FSR3: 1023"
"[15:59:55] 28.03, Force(N): 35.815, ΔF(N): -2.021, FSR1: 573, FSR2: 1023, FSR3: 1023"
"[15:59:55] 28.14, Force(N): 36.826, ΔF(N): 1.011, FSR1: 571, FSR2: 1023, FSR3: 1023"
"[15:59:55] 28.46, Force(N): 37.837, ΔF(N): 1.011, FSR1: 559, FSR2: 1023, FSR3: 1023"
"[15:59:55] 28.67, Force(N): 38.848, ΔF(N): 1.011, FSR1: 539, FSR2: 1023, FSR3: 1023"
"[15:59:56] 28.88, Force(N): 39.858, ΔF(N): 1.011, FSR1: 520, FSR2: 1023, FSR3: 1023"
"[15:59:56] 29.00, Force(N): 38.848, ΔF(N): -1.011, FSR1: 515, FSR2: 1023, FSR3: 1023"
"[15:59:56] 29.11, Force(N): 39.858, ΔF(N): 1.011, FSR1: 513, FSR2: 1023, FSR3: 1023"
"[15:59:56] 29.42, Force(N): 38.848, ΔF(N): -1.011, FSR1: 509, FSR2: 1023, FSR3: 1023"
"[15:59:56] 29.54, Force(N): 39.858, ΔF(N): 1.011, FSR1: 509, FSR2: 1023, FSR3: 1023"
"[15:59:57] 29.75, Force(N): 41.880, ΔF(N): 2.021, FSR1: 492, FSR2: 1023, FSR3: 1023"
"[15:59:57] 29.86, Force(N): 40.869, ΔF(N): -1.011, FSR1: 487, FSR2: 1023, FSR3: 1023"
"[15:59:57] 29.97, Force(N): 41.880, ΔF(N): 1.011, FSR1: 493, FSR2: 1023, FSR3: 1023"
"[15:59:57] 30.09, Force(N): 36.826, ΔF(N): -5.054, FSR1: 558, FSR2: 1023, FSR3: 1023"
"[15:59:57] 30.20, Force(N): 32.783, ΔF(N): -4.043, FSR1: 626, FSR2: 1023, FSR3: 1023"
"[15:59:57] 30.31, Force(N): 30.762, ΔF(N): -2.021, FSR1: 703, FSR2: 1023, FSR3: 1022"
"[15:59:57] 30.42, Force(N): 29.751, ΔF(N): -1.011, FSR1: 733, FSR2: 1023, FSR3: 1023"
"[15:59:57] 30.54, Force(N): 26.719, ΔF(N): -3.032, FSR1: 788, FSR2: 1023, FSR3: 1023"
"[15:59:57] 30.65, Force(N): 25.708, ΔF(N): -1.011, FSR1: 815, FSR2: 1023, FSR3: 1023"
"[15:59:58] 30.76, Force(N): 23.687, ΔF(N): -2.021, FSR1: 833, FSR2: 1023, FSR3: 1023"
"[15:59:58] 30.88, Force(N): 22.676, ΔF(N): -1.011, FSR1: 848, FSR2: 1022, FSR3: 1023"
"[15:59:58] 30.99, Force(N): 20.654, ΔF(N): -2.021, FSR1: 856, FSR2: 1023, FSR3: 1023"
"[15:59:58] 31.41, Force(N): 19.644, ΔF(N): -1.011, FSR1: 924, FSR2: 1023, FSR3: 1023"
"[15:59:58] 31.52, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:58] 31.63, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:59] 31.75, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:59] 31.86, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:59] 31.97, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:59:59] 32.29, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:59] 32.40, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:00:00] 33.02, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:00] 33.24, Force(N): 18.633, ΔF(N): -1.011, FSR1: 944, FSR2: 1023, FSR3: 1023"
"[16:00:00] 33.35, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:00] 33.46, Force(N): 20.654, ΔF(N): 1.011, FSR1: 922, FSR2: 1023, FSR3: 1023"
"[16:00:00] 33.57, Force(N): 19.644, ΔF(N): -1.011, FSR1: 874, FSR2: 1023, FSR3: 1023"
"[16:00:00] 33.69, Force(N): 20.654, ΔF(N): 1.011, FSR1: 873, FSR2: 1023, FSR3: 1023"
"[16:00:01] 33.80, Force(N): 22.676, ΔF(N): 2.021, FSR1: 847, FSR2: 1023, FSR3: 1023"
"[16:00:01] 33.91, Force(N): 23.687, ΔF(N): 1.011, FSR1: 833, FSR2: 1023, FSR3: 1023"
"[16:00:01] 34.12, Force(N): 24.697, ΔF(N): 1.011, FSR1: 820, FSR2: 1023, FSR3: 1023"
"[16:00:01] 34.24, Force(N): 26.719, ΔF(N): 2.021, FSR1: 806, FSR2: 1023, FSR3: 1023"
"[16:00:01] 34.35, Force(N): 27.729, ΔF(N): 1.011, FSR1: 798, FSR2: 1023, FSR3: 1023"
"[16:00:01] 34.46, Force(N): 28.740, ΔF(N): 1.011, FSR1: 747, FSR2: 1023, FSR3: 1023"
"[16:00:01] 34.57, Force(N): 30.762, ΔF(N): 2.021, FSR1: 726, FSR2: 1023, FSR3: 1023"
"[16:00:01] 34.68, Force(N): 33.794, ΔF(N): 3.032, FSR1: 682, FSR2: 1023, FSR3: 1023"
"[16:00:02] 34.79, Force(N): 35.815, ΔF(N): 2.021, FSR1: 624, FSR2: 1023, FSR3: 1023"
"[16:00:02] 35.01, Force(N): 36.826, ΔF(N): 1.011, FSR1: 568, FSR2: 1023, FSR3: 1023"
"[16:00:02] 35.12, Force(N): 39.858, ΔF(N): 3.032, FSR1: 532, FSR2: 1023, FSR3: 1023"
"[16:00:02] 35.23, Force(N): 38.848, ΔF(N): -1.011, FSR1: 521, FSR2: 1023, FSR3: 1023"
"[16:00:02] 35.34, Force(N): 39.858, ΔF(N): 1.011, FSR1: 517, FSR2: 1023, FSR3: 1023"
"[16:00:02] 35.56, Force(N): 40.869, ΔF(N): 1.011, FSR1: 513, FSR2: 1023, FSR3: 1023"
"[16:00:03] 35.77, Force(N): 38.848, ΔF(N): -2.021, FSR1: 512, FSR2: 1023, FSR3: 1023"
"[16:00:03] 36.09, Force(N): 39.858, ΔF(N): 1.011, FSR1: 510, FSR2: 1023, FSR3: 1023"
"[16:00:03] 36.40, Force(N): 40.869, ΔF(N): 1.011, FSR1: 496, FSR2: 1023, FSR3: 1023"
"[16:00:03] 36.61, Force(N): 41.880, ΔF(N): 1.011, FSR1: 490, FSR2: 1023, FSR3: 1023"
"[16:00:04] 36.72, Force(N): 40.869, ΔF(N): -1.011, FSR1: 490, FSR2: 1023, FSR3: 1023"
"[16:00:04] 36.94, Force(N): 41.880, ΔF(N): 1.011, FSR1: 484, FSR2: 1023, FSR3: 1023"
"[16:00:04] 37.05, Force(N): 42.891, ΔF(N): 1.011, FSR1: 477, FSR2: 1023, FSR3: 1023"
"[16:00:04] 37.16, Force(N): 40.869, ΔF(N): -2.021, FSR1: 484, FSR2: 1023, FSR3: 1023"
"[16:00:04] 37.38, Force(N): 37.837, ΔF(N): -3.032, FSR1: 558, FSR2: 1023, FSR3: 1023"
"[16:00:04] 37.49, Force(N): 32.783, ΔF(N): -5.054, FSR1: 657, FSR2: 1023, FSR3: 1023"
"[16:00:04] 37.60, Force(N): 30.762, ΔF(N): -2.021, FSR1: 720, FSR2: 1023, FSR3: 1023"
"[16:00:05] 37.72, Force(N): 28.740, ΔF(N): -2.021, FSR1: 773, FSR2: 1023, FSR3: 1022"
"[16:00:05] 37.83, Force(N): 24.697, ΔF(N): -4.043, FSR1: 811, FSR2: 1023, FSR3: 1023"
"[16:00:05] 37.94, Force(N): 22.676, ΔF(N): -2.021, FSR1: 826, FSR2: 1023, FSR3: 1023"
"[16:00:05] 38.05, Force(N): 21.665, ΔF(N): -1.011, FSR1: 854, FSR2: 1023, FSR3: 1023"
"[16:00:05] 38.27, Force(N): 18.633, ΔF(N): -3.032, FSR1: 898, FSR2: 1023, FSR3: 1023"
"[16:00:06] 38.79, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:06] 39.00, Force(N): 19.644, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:06] 39.11, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:07] 39.73, Force(N): 19.644, ΔF(N): 1.011, FSR1: 993, FSR2: 1023, FSR3: 1023"
"[16:00:07] 39.85, Force(N): 18.633, ΔF(N): -1.011, FSR1: 987, FSR2: 1023, FSR3: 1023"
"[16:00:07] 40.06, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:07] 40.17, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:07] 40.49, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[16:00:07] 40.60, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:08] 40.72, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:08] 40.83, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:08] 41.35, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:08] 41.46, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:00:09] 42.18, Force(N): 19.644, ΔF(N): 1.011, FSR1: 962, FSR2: 1023, FSR3: 1023"
