timestamped_line
[17:43:09] ▶ Starting baseline phase for 5 seconds...
[17:43:18] [MAIN] t = 5.900 s | ADC: 3250 | V: 2.6190
[17:43:18] [MAIN] t = 5.950 s | ADC: 3250 | V: 2.6190
[17:43:18] [MAIN] t = 6.000 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 6.050 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 6.100 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 6.150 s | ADC: 3251 | V: 2.6199
[17:43:19] [MAIN] t = 6.200 s | ADC: 3251 | V: 2.6199
[17:43:19] [MAIN] t = 6.250 s | ADC: 3252 | V: 2.6207
[17:43:19] [MAIN] t = 6.300 s | ADC: 3251 | V: 2.6199
[17:43:19] [MAIN] t = 6.350 s | ADC: 3251 | V: 2.6199
[17:43:19] [MAIN] t = 6.400 s | ADC: 3249 | V: 2.6182
[17:43:19] [MAIN] t = 6.450 s | ADC: 3250 | V: 2.6190
[17:43:19] [MAIN] t = 6.500 s | ADC: 3250 | V: 2.6190
[17:43:19] [MAIN] t = 6.550 s | ADC: 3248 | V: 2.6174
[17:43:19] [MAIN] t = 6.600 s | ADC: 3250 | V: 2.6190
[17:43:19] [MAIN] t = 6.650 s | ADC: 3252 | V: 2.6207
[17:43:19] [MAIN] t = 6.700 s | ADC: 3251 | V: 2.6199
[17:43:19] [MAIN] t = 6.750 s | ADC: 3251 | V: 2.6199
[17:43:19] [MAIN] t = 6.800 s | ADC: 3250 | V: 2.6190
[17:43:19] [MAIN] t = 6.850 s | ADC: 3251 | V: 2.6199
[17:43:19] [MAIN] t = 6.900 s | ADC: 3250 | V: 2.6190
