timestamped_line
"[15:33:07] Ready. Type 's' to start logging, 'e' to stop."
[15:33:07] Sensor Info:
[15:33:07] Sensor ID: 50
[15:33:07] Sensor Name: FORCE PLATE 850
[15:33:07] Units: N
[15:33:07] ▶️ START LOGGING
"[15:33:07] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:33:30] 27.30, Force(N): 45.923, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 630"
"[15:33:31] 27.41, Force(N): 46.934, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 626"
"[15:33:31] 27.52, Force(N): 47.944, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 624"
"[15:33:31] 27.63, Force(N): 46.934, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 618"
"[15:33:31] 27.85, Force(N): 47.944, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 622"
"[15:33:31] 28.06, Force(N): 46.934, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 625"
"[15:33:31] 28.17, Force(N): 48.955, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 621"
"[15:33:31] 28.29, Force(N): 47.944, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 629"
"[15:33:32] 28.50, Force(N): 46.934, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 622"
"[15:33:32] 28.72, Force(N): 47.944, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 628"
"[15:33:32] 28.93, Force(N): 45.923, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 627"
"[15:33:32] 29.04, Force(N): 43.901, ΔF(N): -2.021, FSR1: 1023, FSR2: 1022, FSR3: 628"
"[15:33:32] 29.15, Force(N): 37.837, ΔF(N): -6.064, FSR1: 1022, FSR2: 1023, FSR3: 647"
"[15:33:32] 29.27, Force(N): 34.805, ΔF(N): -3.032, FSR1: 1022, FSR2: 1023, FSR3: 672"
"[15:33:32] 29.38, Force(N): 30.762, ΔF(N): -4.043, FSR1: 1022, FSR2: 1023, FSR3: 687"
"[15:33:33] 29.49, Force(N): 28.740, ΔF(N): -2.021, FSR1: 1023, FSR2: 1022, FSR3: 723"
"[15:33:33] 29.60, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 733"
"[15:33:33] 29.72, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 734"
"[15:33:33] 29.83, Force(N): 24.697, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 732"
"[15:33:33] 30.05, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 779"
"[15:33:33] 30.16, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 789"
"[15:33:33] 30.37, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 828"
"[15:33:34] 30.48, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 842"
"[15:33:34] 30.80, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 935"
"[15:33:34] 31.12, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:34] 31.33, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:35] 31.45, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:35] 31.86, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:35] 31.98, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:35] 32.19, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:35] 32.30, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:36] 32.72, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:36] 32.83, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:33:36] 32.95, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[15:33:36] 33.06, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:36] 33.17, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:36] 33.29, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:33:37] 33.70, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:37] 33.82, Force(N): 19.644, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:37] 33.93, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:38] 35.16, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:38] 35.27, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:39] 35.49, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:39] 35.60, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:39] 35.71, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:39] 35.83, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:39] 36.14, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:39] 36.36, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:40] 36.47, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 904"
"[15:33:40] 36.58, Force(N): 22.676, ΔF(N): 3.032, FSR1: 1023, FSR2: 1023, FSR3: 751"
"[15:33:40] 36.70, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 661"
"[15:33:40] 36.81, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 604"
"[15:33:40] 37.02, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 554"
"[15:33:40] 37.13, Force(N): 27.729, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 535"
"[15:33:40] 37.34, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 510"
"[15:33:41] 37.56, Force(N): 30.762, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 482"
"[15:33:41] 37.67, Force(N): 32.783, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 469"
"[15:33:41] 37.88, Force(N): 34.805, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 453"
"[15:33:41] 38.10, Force(N): 36.826, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 447"
"[15:33:41] 38.31, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 440"
"[15:33:42] 38.42, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 430"
"[15:33:42] 38.53, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 427"
