timestamped_line
[14:13:16] ▶ Starting baseline phase for 5 seconds...
[14:13:25] [MAIN] t = 5.800 s | ADC: 2850 | V: 2.2967
[14:13:25] [MAIN] t = 5.850 s | ADC: 2851 | V: 2.2975
[14:13:25] [MAIN] t = 5.900 s | ADC: 2850 | V: 2.2967
[14:13:25] [MAIN] t = 5.950 s | ADC: 2852 | V: 2.2983
[14:13:25] [MAIN] t = 6.000 s | ADC: 2852 | V: 2.2983
[14:13:25] [MAIN] t = 6.050 s | ADC: 2851 | V: 2.2975
[14:13:25] [MAIN] t = 6.100 s | ADC: 2851 | V: 2.2975
[14:13:25] [MAIN] t = 6.150 s | ADC: 2851 | V: 2.2975
[14:13:25] [MAIN] t = 6.200 s | ADC: 2851 | V: 2.2975
[14:13:25] [MAIN] t = 6.250 s | ADC: 2852 | V: 2.2983
[14:13:25] [MAIN] t = 6.300 s | ADC: 2852 | V: 2.2983
[14:13:25] [MAIN] t = 6.350 s | ADC: 2851 | V: 2.2975
[14:13:25] [MAIN] t = 6.400 s | ADC: 2852 | V: 2.2983
[14:13:25] [MAIN] t = 6.450 s | ADC: 2853 | V: 2.2991
[14:13:25] [MAIN] t = 6.500 s | ADC: 2851 | V: 2.2975
[14:13:25] [MAIN] t = 6.550 s | ADC: 2852 | V: 2.2983
[14:13:25] [MAIN] t = 6.600 s | ADC: 2852 | V: 2.2983
[14:13:26] [MAIN] t = 6.650 s | ADC: 2852 | V: 2.2983
[14:13:26] [MAIN] t = 6.700 s | ADC: 2852 | V: 2.2983
[14:13:26] [MAIN] t = 6.750 s | ADC: 2852 | V: 2.2983
[14:13:26] [MAIN] t = 6.800 s | ADC: 2852 | V: 2.2983
[14:13:26] [MAIN] t = 6.850 s | ADC: 2852 | V: 2.2983
[14:13:26] [MAIN] t = 6.900 s | ADC: 2852 | V: 2.2983
